"VUOSI";"VIIKKO";"VAR_KUSTANNUS";"VAR_N_OSTOT";"VAR_N_HENKILOT";"ATC_KOODI";"ATC_SELITE_FI";"ATC_SELITE_SV";"ATC_SELITE_EN";"ALUEKOODI";"ATC_TASO";"ALUENIMI_FI";"ALUENIMI_SV";"ALUENIMI_EN";"UPDATED"
"2023";"1";"31327821,87";"984232";"493963";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"2";"39827009,17";"1152375";"575606";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"3";"37605467,51";"1116348";"554455";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"4";"38036410,55";"1106465";"550529";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"5";"42525501,40";"1206340";"598060";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"6";"41819160,12";"1169025";"577245";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"7";"42457175,81";"1172946";"582916";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"8";"40980957,32";"1136261";"562614";NA;"(NA) NA";"(NA) NA";"(NA) NA";"99";"0";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"1";"4372569,57";"114970";"92655";"A";"(A) Ruuansulatuselinten sairauksien ja aineenvaihduntasairauksien lääkkeet";"(A) Matsmältningsorgan och ämnesomsättning";"(A) Alimentary tract and metabolism";"99";"1";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"1";"4191188,65";"37792";"37244";"B";"(B) Veritautien lääkkeet";"(B) Blod och blodbildande organ";"(B) Blood and blood forming organs";"99";"1";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"1";"2782461,53";"280783";"175805";"C";"(C) Sydän- ja verisuonisairauksien lääkkeet";"(C) Hjärta och kretslopp";"(C) Cardiovascular system";"99";"1";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
"2023";"1";"446358,25";"13936";"12858";"D";"(D) Ihotautilääkkeet";"(D) Hud";"(D) Dermatologicals";"99";"1";"Koko Suomi";"Whole Finland";"Hela Finland";"2023-03-01 07:43:08"
