"VUOSI";"VIIKKO";"VAR_KUSTANNUS";"VAR_N_OSTOT";"VAR_N_HENKILOT";"ATC_KOODI";"ATC_SELITE_FI";"ATC_SELITE_SV";"ATC_SELITE_EN";"ALUEKOODI";"ATC_TASO";"ALUENIMI_FI";"ALUENIMI_SV";"ALUENIMI_EN";"UPDATED"
"2026";"24";"5588938,6500000";"135339";"65219";NA;"(NA) NA";"(NA) NA";"(NA) NA";"90";"0";"Helsinki";"Helsingfors";"Helsinki";"2026-09-02 10:13:42.719297"
"2026";"24";"256790,2400000";"5725";"2750";NA;"(NA) NA";"(NA) NA";"(NA) NA";"91";"0";"Ahvenanmaa";"Åland";"Åland";"2026-09-02 10:13:42.719297"
"2026";"25";"870284,8300000";"20101";"9917";NA;"(NA) NA";"(NA) NA";"(NA) NA";"1";"0";"Itä-Uusimaa";"Östra Nyland";"East Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"25";"1716434,8700000";"42657";"20483";NA;"(NA) NA";"(NA) NA";"(NA) NA";"2";"0";"Keski-Uusimaa";"Mellersta Nyland";"Central Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"25";"3650268,1500000";"86887";"43609";NA;"(NA) NA";"(NA) NA";"(NA) NA";"3";"0";"Länsi-Uusimaa";"Västra Nyland";"West Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"25";"2032396,0900000";"49487";"24029";NA;"(NA) NA";"(NA) NA";"(NA) NA";"4";"0";"Vantaa ja Kerava";"Vanda och Kervo";"Vantaa and Kerava";"2026-09-02 10:13:42.719297"
"2026";"25";"4944527,9700000";"108921";"53456";NA;"(NA) NA";"(NA) NA";"(NA) NA";"5";"0";"Varsinais-Suomi";"Egentliga Finland";"Southwest Finland";"2026-09-02 10:13:42.719297"
"2026";"25";"2056452,9900000";"57045";"25087";NA;"(NA) NA";"(NA) NA";"(NA) NA";"6";"0";"Satakunta";"Satakunta";"Satakunta";"2026-09-02 10:13:42.719297"
"2026";"25";"1749747,5200000";"41901";"19580";NA;"(NA) NA";"(NA) NA";"(NA) NA";"7";"0";"Kanta-Häme";"Egentliga Tavastland";"Kanta-Häme";"2026-09-02 10:13:42.719297"
"2026";"25";"5150917,1100000";"114146";"56841";NA;"(NA) NA";"(NA) NA";"(NA) NA";"8";"0";"Pirkanmaa";"Birkaland";"Pirkanmaa";"2026-09-02 10:13:42.719297"
"2026";"25";"2004093,8000000";"50161";"23636";NA;"(NA) NA";"(NA) NA";"(NA) NA";"9";"0";"Päijät-Häme";"Päijänne-Tavastland";"Päijät-Häme";"2026-09-02 10:13:42.719297"
"2026";"25";"1574408,1900000";"43720";"19804";NA;"(NA) NA";"(NA) NA";"(NA) NA";"10";"0";"Kymenlaakso";"Kymmenedalen";"Kymenlaakso";"2026-09-02 10:13:42.719297"
"2026";"25";"1244620,8400000";"27583";"13992";NA;"(NA) NA";"(NA) NA";"(NA) NA";"11";"0";"Etelä-Karjala";"Södra Karelen";"South Karelia";"2026-09-02 10:13:42.719297"
"2026";"25";"1338576,9800000";"35938";"16672";NA;"(NA) NA";"(NA) NA";"(NA) NA";"12";"0";"Etelä-Savo";"Södra Savolax";"South Savo";"2026-09-02 10:13:42.719297"
"2026";"25";"2603240,7700000";"72907";"32417";NA;"(NA) NA";"(NA) NA";"(NA) NA";"13";"0";"Pohjois-Savo";"Norra Savolax";"North Savo";"2026-09-02 10:13:42.719297"
"2026";"25";"1543509,8000000";"43290";"19397";NA;"(NA) NA";"(NA) NA";"(NA) NA";"14";"0";"Pohjois-Karjala";"Norra Karelen";"North Karelia";"2026-09-02 10:13:42.719297"
"2026";"25";"2777976,5600000";"66834";"30750";NA;"(NA) NA";"(NA) NA";"(NA) NA";"15";"0";"Keski-Suomi";"Mellersta Finland";"Central Finland";"2026-09-02 10:13:42.719297"
"2026";"25";"1794237,2600000";"47018";"21845";NA;"(NA) NA";"(NA) NA";"(NA) NA";"16";"0";"Etelä-Pohjanmaa";"Södra Österbotten";"South Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"25";"1524701,5000000";"34402";"16742";NA;"(NA) NA";"(NA) NA";"(NA) NA";"17";"0";"Pohjanmaa";"Österbotten";"Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"25";"622732,6900000";"16428";"7563";NA;"(NA) NA";"(NA) NA";"(NA) NA";"18";"0";"Keski-Pohjanmaa";"Mellersta Österbotten";"Central Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"25";"3659169,0500000";"98820";"45010";NA;"(NA) NA";"(NA) NA";"(NA) NA";"19";"0";"Pohjois-Pohjanmaa";"Norra Österbotten";"North Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"25";"724558,4700000";"20780";"9039";NA;"(NA) NA";"(NA) NA";"(NA) NA";"20";"0";"Kainuu";"Kajanaland";"Kainuu";"2026-09-02 10:13:42.719297"
"2026";"25";"1775647,8100000";"44123";"19983";NA;"(NA) NA";"(NA) NA";"(NA) NA";"21";"0";"Lappi";"Lappland";"Lapland";"2026-09-02 10:13:42.719297"
"2026";"25";"4755328,9500000";"117929";"59176";NA;"(NA) NA";"(NA) NA";"(NA) NA";"90";"0";"Helsinki";"Helsingfors";"Helsinki";"2026-09-02 10:13:42.719297"
"2026";"25";"239498,2900000";"5064";"2512";NA;"(NA) NA";"(NA) NA";"(NA) NA";"91";"0";"Ahvenanmaa";"Åland";"Åland";"2026-09-02 10:13:42.719297"
"2026";"26";"905213,7400000";"20832";"10544";NA;"(NA) NA";"(NA) NA";"(NA) NA";"1";"0";"Itä-Uusimaa";"Östra Nyland";"East Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"26";"1952664,4800000";"45397";"22029";NA;"(NA) NA";"(NA) NA";"(NA) NA";"2";"0";"Keski-Uusimaa";"Mellersta Nyland";"Central Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"26";"4206406,5100000";"96064";"47928";NA;"(NA) NA";"(NA) NA";"(NA) NA";"3";"0";"Länsi-Uusimaa";"Västra Nyland";"West Uusimaa";"2026-09-02 10:13:42.719297"
"2026";"26";"2107361,7400000";"51456";"25743";NA;"(NA) NA";"(NA) NA";"(NA) NA";"4";"0";"Vantaa ja Kerava";"Vanda och Kervo";"Vantaa and Kerava";"2026-09-02 10:13:42.719297"
"2026";"26";"5445075,5400000";"118427";"57805";NA;"(NA) NA";"(NA) NA";"(NA) NA";"5";"0";"Varsinais-Suomi";"Egentliga Finland";"Southwest Finland";"2026-09-02 10:13:42.719297"
"2026";"26";"2441342,1900000";"57097";"26667";NA;"(NA) NA";"(NA) NA";"(NA) NA";"6";"0";"Satakunta";"Satakunta";"Satakunta";"2026-09-02 10:13:42.719297"
"2026";"26";"2078608,2000000";"45654";"21076";NA;"(NA) NA";"(NA) NA";"(NA) NA";"7";"0";"Kanta-Häme";"Egentliga Tavastland";"Kanta-Häme";"2026-09-02 10:13:42.719297"
"2026";"26";"5819413,6600000";"127467";"62038";NA;"(NA) NA";"(NA) NA";"(NA) NA";"8";"0";"Pirkanmaa";"Birkaland";"Pirkanmaa";"2026-09-02 10:13:42.719297"
"2026";"26";"2144724,4500000";"54646";"25518";NA;"(NA) NA";"(NA) NA";"(NA) NA";"9";"0";"Päijät-Häme";"Päijänne-Tavastland";"Päijät-Häme";"2026-09-02 10:13:42.719297"
"2026";"26";"1842460,5200000";"49462";"21526";NA;"(NA) NA";"(NA) NA";"(NA) NA";"10";"0";"Kymenlaakso";"Kymmenedalen";"Kymenlaakso";"2026-09-02 10:13:42.719297"
"2026";"26";"1314708,5400000";"29394";"14749";NA;"(NA) NA";"(NA) NA";"(NA) NA";"11";"0";"Etelä-Karjala";"Södra Karelen";"South Karelia";"2026-09-02 10:13:42.719297"
"2026";"26";"1701737,1700000";"40426";"18443";NA;"(NA) NA";"(NA) NA";"(NA) NA";"12";"0";"Etelä-Savo";"Södra Savolax";"South Savo";"2026-09-02 10:13:42.719297"
"2026";"26";"3057045,7300000";"71814";"33466";NA;"(NA) NA";"(NA) NA";"(NA) NA";"13";"0";"Pohjois-Savo";"Norra Savolax";"North Savo";"2026-09-02 10:13:42.719297"
"2026";"26";"1847152,9700000";"49126";"21359";NA;"(NA) NA";"(NA) NA";"(NA) NA";"14";"0";"Pohjois-Karjala";"Norra Karelen";"North Karelia";"2026-09-02 10:13:42.719297"
"2026";"26";"3038134,7800000";"65282";"32943";NA;"(NA) NA";"(NA) NA";"(NA) NA";"15";"0";"Keski-Suomi";"Mellersta Finland";"Central Finland";"2026-09-02 10:13:42.719297"
"2026";"26";"2099202,2800000";"47211";"22546";NA;"(NA) NA";"(NA) NA";"(NA) NA";"16";"0";"Etelä-Pohjanmaa";"Södra Österbotten";"South Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"26";"1946861,2900000";"35210";"17869";NA;"(NA) NA";"(NA) NA";"(NA) NA";"17";"0";"Pohjanmaa";"Österbotten";"Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"26";"685817,4300000";"17475";"7847";NA;"(NA) NA";"(NA) NA";"(NA) NA";"18";"0";"Keski-Pohjanmaa";"Mellersta Österbotten";"Central Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"26";"4113521,8400000";"110472";"48056";NA;"(NA) NA";"(NA) NA";"(NA) NA";"19";"0";"Pohjois-Pohjanmaa";"Norra Österbotten";"North Ostrobothnia";"2026-09-02 10:13:42.719297"
"2026";"26";"821673,2100000";"19992";"9347";NA;"(NA) NA";"(NA) NA";"(NA) NA";"20";"0";"Kainuu";"Kajanaland";"Kainuu";"2026-09-02 10:13:42.719297"
"2026";"26";"1893335,6800000";"48811";"21691";NA;"(NA) NA";"(NA) NA";"(NA) NA";"21";"0";"Lappi";"Lappland";"Lapland";"2026-09-02 10:13:42.719297"
"2026";"26";"5663972,5400000";"129967";"64717";NA;"(NA) NA";"(NA) NA";"(NA) NA";"90";"0";"Helsinki";"Helsingfors";"Helsinki";"2026-09-02 10:13:42.719297"
