CODE;VALUES;CLASS;NAME;DESCRIPTION;UPDATED
UPDATED;2021-06-23 07:23:18;character;Data päivitetty;Data päivitetty;2021-06-23 07:23:18
VUOSI;NA;numeric;Vuosi;Vuosi;2021-06-23 07:23:18
ALUENIMI_FI;Koko Suomi;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Varsinais-Suomen SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Satakunnan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Kanta-Hämeen SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Pirkanmaan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Päijät-Hämeen SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Kymenlaakson SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Etelä-Karjalan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Etelä-Savon SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Itä-Savon SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Pohjois-Karjalan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Pohjois-Savon SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Keski-Suomen SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Etelä-Pohjanmaan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Vaasan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Keski-Pohjanmaan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Pohjois-Pohjanmaan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Kainuun SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Länsi-Pohjan SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
ALUENIMI_FI;Lapin SHP;character;Alueen nimi suomeksi;Koko Suomi tai sairaanhoitopiirin nimi. SHP-nimet Tilastokeskuksen koodiston mukaiset SHP-tieto perustuu lääkkeen ostajan asuinkuntaan, joka vuoden 2019 osalta perustuu vuoden lopun tietoon ja vuoden 2020 osalta uusimpaan saatavilla olevaan tietoon.;2021-06-23 07:23:18
